# 10000 replications, problems/RPI_heteroA.dat
# Sat Sep 14 09:24:03 2013
# KNUNK n0 = 30
k=4 PCS=0.853+/-0.004 E[N]/k=1378.686+/-5.159 E[stages]=1742.394+/-7.288
k=844 PCS=1.000+/-0.000 E[N]/k=3323.906+/-4.852 E[stages]=11829.881+/-28.265
k=5 PCS=0.941+/-0.002 E[N]/k=1196.824+/-4.109 E[stages]=1765.964+/-7.559
k=6 PCS=0.942+/-0.002 E[N]/k=1507.306+/-4.628 E[stages]=2222.830+/-8.543
k=38 PCS=0.987+/-0.001 E[N]/k=2171.327+/-4.099 E[stages]=5256.247+/-16.580
k=3 PCS=0.968+/-0.002 E[N]/k=908.229+/-3.859 E[stages]=1036.540+/-4.740
k=12 PCS=0.976+/-0.002 E[N]/k=1802.814+/-4.443 E[stages]=3416.190+/-12.558
k=4 PCS=0.994+/-0.001 E[N]/k=1232.658+/-4.383 E[stages]=1488.627+/-5.854
k=4 PCS=0.900+/-0.003 E[N]/k=1493.576+/-5.680 E[stages]=1924.629+/-8.477
k=586 PCS=0.999+/-0.000 E[N]/k=3323.988+/-4.895 E[stages]=11333.890+/-27.024
k=15 PCS=0.960+/-0.002 E[N]/k=2323.087+/-5.428 E[stages]=4457.933+/-14.671
k=108 PCS=0.992+/-0.001 E[N]/k=2958.838+/-4.736 E[stages]=8402.162+/-22.507
k=34 PCS=0.984+/-0.001 E[N]/k=2172.526+/-4.241 E[stages]=5220.925+/-15.492
k=3112 PCS=0.999+/-0.000 E[N]/k=4253.720+/-5.628 E[stages]=17529.938+/-35.790
k=3900 PCS=1.000+/-0.000 E[N]/k=3493.508+/-4.433 E[stages]=13571.754+/-25.727
k=64 PCS=0.997+/-0.001 E[N]/k=2107.483+/-3.658 E[stages]=5555.853+/-15.357
