# 10000 replications, problems/RPI_hetero.dat
# Fri Sep  6 14:38:49 2013
# KNUNK n0 = 30
k=4 PCS=0.856+/-0.004 E[N]/k=971.353+/-3.888 E[stages]=1311.994+/-6.208
k=844 PCS=0.999+/-0.000 E[N]/k=4844.743+/-8.857 E[stages]=20240.275+/-47.329
k=5 PCS=0.936+/-0.002 E[N]/k=778.307+/-2.569 E[stages]=1119.269+/-4.656
k=6 PCS=0.933+/-0.002 E[N]/k=1327.288+/-3.952 E[stages]=2048.356+/-7.568
k=38 PCS=0.987+/-0.001 E[N]/k=2224.153+/-4.967 E[stages]=7447.903+/-25.913
k=3 PCS=0.966+/-0.002 E[N]/k=1015.408+/-4.352 E[stages]=1172.025+/-5.388
k=12 PCS=0.973+/-0.002 E[N]/k=2067.543+/-4.921 E[stages]=4082.644+/-13.804
k=4 PCS=0.993+/-0.001 E[N]/k=2156.508+/-7.825 E[stages]=2709.201+/-10.833
k=4 PCS=0.912+/-0.003 E[N]/k=1667.346+/-6.720 E[stages]=2271.963+/-11.172
k=586 PCS=0.999+/-0.000 E[N]/k=4548.575+/-7.890 E[stages]=18319.091+/-44.379
k=15 PCS=0.958+/-0.002 E[N]/k=2875.837+/-6.912 E[stages]=6166.166+/-22.404
k=108 PCS=0.993+/-0.001 E[N]/k=3808.701+/-6.631 E[stages]=12322.105+/-33.581
k=34 PCS=0.980+/-0.001 E[N]/k=2207.312+/-5.103 E[stages]=7121.028+/-23.300
k=3112 PCS=1.000+/-0.000 E[N]/k=6238.453+/-9.922 E[stages]=30942.123+/--nan
k=3900 PCS=1.000+/-0.000 E[N]/k=3886.889+/-5.895 E[stages]=18743.263+/-29.780
k=64 PCS=0.996+/-0.001 E[N]/k=2069.211+/-4.157 E[stages]=7478.381+/-21.834
