# 10000 replications, problems/RPI.dat
# Fri Sep  6 14:38:43 2013
# BIZUNK n0 = 30
k=5 PCS=0.903+/-0.003 E[N]/k=667.687+/-3.562 E[stages]=371.305+/-2.979
k=6 PCS=0.900+/-0.003 E[N]/k=741.156+/-3.424 E[stages]=402.668+/-3.098
k=38 PCS=0.954+/-0.002 E[N]/k=734.421+/-1.673 E[stages]=533.929+/-4.174
k=3 PCS=0.939+/-0.002 E[N]/k=463.122+/-2.757 E[stages]=191.224+/-1.468
k=12 PCS=0.944+/-0.002 E[N]/k=682.281+/-2.368 E[stages]=455.625+/-3.535
k=4 PCS=0.976+/-0.002 E[N]/k=466.009+/-2.224 E[stages]=191.935+/-1.343
k=4 PCS=0.842+/-0.004 E[N]/k=734.981+/-4.117 E[stages]=353.818+/-2.758
k=586 PCS=0.974+/-0.002 E[N]/k=685.938+/-0.603 E[stages]=402.478+/-2.811
k=15 PCS=0.908+/-0.003 E[N]/k=843.809+/-2.757 E[stages]=563.696+/-4.237
k=108 PCS=0.950+/-0.002 E[N]/k=766.788+/-1.260 E[stages]=581.983+/-4.310
k=34 PCS=0.945+/-0.002 E[N]/k=764.542+/-1.838 E[stages]=546.914+/-4.024
k=3112 PCS=0.962+/-0.002 E[N]/k=713.296+/-0.387 E[stages]=386.534+/-2.509
k=3900 PCS=0.973+/-0.002 E[N]/k=660.695+/-0.328 E[stages]=303.863+/-2.084
k=64 PCS=0.978+/-0.001 E[N]/k=669.891+/-1.230 E[stages]=451.668+/-3.355
