# 10000 replications, problems/RPI_heteroA.dat
# Fri Sep  6 14:38:45 2013
# BIZUNK n0 = 30
k=844 PCS=0.979+/-0.001 E[N]/k=948.432+/-0.741 E[stages]=512.732+/-3.825
k=5 PCS=0.904+/-0.003 E[N]/k=826.603+/-4.313 E[stages]=462.547+/-3.636
k=6 PCS=0.902+/-0.003 E[N]/k=995.634+/-4.490 E[stages]=522.259+/-3.964
k=38 PCS=0.955+/-0.002 E[N]/k=1042.366+/-2.291 E[stages]=725.263+/-5.434
k=3 PCS=0.939+/-0.002 E[N]/k=669.409+/-3.836 E[stages]=279.624+/-2.041
k=12 PCS=0.945+/-0.002 E[N]/k=1018.174+/-3.460 E[stages]=690.518+/-5.176
k=4 PCS=0.975+/-0.002 E[N]/k=803.787+/-3.814 E[stages]=316.751+/-2.149
k=4 PCS=0.845+/-0.004 E[N]/k=1037.887+/-5.716 E[stages]=495.892+/-3.804
k=586 PCS=0.981+/-0.001 E[N]/k=996.998+/-0.876 E[stages]=578.255+/-4.205
k=15 PCS=0.910+/-0.003 E[N]/k=1321.744+/-4.419 E[stages]=885.538+/-6.786
k=108 PCS=0.955+/-0.002 E[N]/k=1141.230+/-1.885 E[stages]=876.915+/-6.771
k=34 PCS=0.945+/-0.002 E[N]/k=1119.290+/-2.720 E[stages]=771.997+/-5.985
k=3112 PCS=0.973+/-0.002 E[N]/k=1034.642+/-0.564 E[stages]=550.925+/-3.626
k=3900 PCS=0.976+/-0.002 E[N]/k=961.348+/-0.469 E[stages]=425.321+/-2.939
k=64 PCS=0.976+/-0.002 E[N]/k=980.242+/-1.756 E[stages]=614.543+/-4.662
