# 10000 replications, problems/RPI.dat
# Fri Sep  6 14:38:44 2013
# KNUNK n0 = 30
k=4 PCS=0.862+/-0.003 E[N]/k=1119.621+/-4.186 E[stages]=1410.347+/-5.858
k=844 PCS=1.000+/-0.000 E[N]/k=2096.523+/-2.901 E[stages]=7337.062+/-16.745
k=5 PCS=0.935+/-0.002 E[N]/k=977.656+/-3.382 E[stages]=1462.013+/-6.305
k=6 PCS=0.941+/-0.002 E[N]/k=1142.202+/-3.642 E[stages]=1692.725+/-6.893
k=38 PCS=0.986+/-0.001 E[N]/k=1601.245+/-3.029 E[stages]=3778.136+/-11.408
k=3 PCS=0.969+/-0.002 E[N]/k=630.714+/-2.759 E[stages]=730.074+/-3.493
k=12 PCS=0.971+/-0.002 E[N]/k=1227.098+/-3.036 E[stages]=2349.050+/-8.786
k=4 PCS=0.994+/-0.001 E[N]/k=705.074+/-2.497 E[stages]=855.259+/-3.370
k=4 PCS=0.894+/-0.003 E[N]/k=1031.220+/-3.833 E[stages]=1314.387+/-5.546
k=586 PCS=0.999+/-0.000 E[N]/k=2143.554+/-3.014 E[stages]=7083.408+/-15.970
k=15 PCS=0.958+/-0.002 E[N]/k=1534.032+/-3.615 E[stages]=2888.876+/-9.615
k=108 PCS=0.991+/-0.001 E[N]/k=1934.696+/-3.113 E[stages]=5369.055+/-13.990
k=34 PCS=0.985+/-0.001 E[N]/k=1620.816+/-3.164 E[stages]=3679.183+/-11.048
k=3112 PCS=0.999+/-0.000 E[N]/k=2674.429+/-3.311 E[stages]=10222.004+/-20.175
k=3900 PCS=1.000+/-0.000 E[N]/k=2468.550+/-3.217 E[stages]=9622.075+/-19.405
k=64 PCS=0.997+/-0.001 E[N]/k=1593.207+/-2.760 E[stages]=4031.091+/-11.285
