# 10000 replications, problems/RPI_hetero.dat
# Fri Sep  6 14:38:44 2013
# BIZUNK n0 = 30
k=844 PCS=0.952+/-0.002 E[N]/k=1230.737+/-0.963 E[stages]=156.149+/-1.610
k=5 PCS=0.902+/-0.003 E[N]/k=552.925+/-2.801 E[stages]=282.397+/-2.246
k=6 PCS=0.889+/-0.003 E[N]/k=971.324+/-4.416 E[stages]=307.909+/-3.033
k=38 PCS=0.946+/-0.002 E[N]/k=1154.867+/-2.624 E[stages]=348.682+/-2.983
k=3 PCS=0.941+/-0.002 E[N]/k=732.117+/-4.186 E[stages]=263.487+/-1.953
k=12 PCS=0.940+/-0.002 E[N]/k=1158.766+/-3.868 E[stages]=674.307+/-5.453
k=4 PCS=0.976+/-0.002 E[N]/k=1330.941+/-6.096 E[stages]=281.728+/-3.032
k=4 PCS=0.846+/-0.004 E[N]/k=1107.389+/-6.340 E[stages]=311.550+/-3.013
k=586 PCS=0.953+/-0.002 E[N]/k=1259.305+/-1.075 E[stages]=216.488+/-2.186
k=15 PCS=0.912+/-0.003 E[N]/k=1737.894+/-6.049 E[stages]=979.101+/-8.141
k=108 PCS=0.943+/-0.002 E[N]/k=1407.622+/-2.285 E[stages]=587.237+/-5.649
k=34 PCS=0.941+/-0.002 E[N]/k=1330.072+/-3.316 E[stages]=359.303+/-3.737
k=3112 PCS=0.932+/-0.003 E[N]/k=1383.884+/-0.819 E[stages]=169.682+/-1.435
k=3900 PCS=0.946+/-0.002 E[N]/k=1315.738+/-0.721 E[stages]=127.622+/-1.098
k=64 PCS=0.970+/-0.002 E[N]/k=1184.587+/-2.116 E[stages]=254.513+/-2.025
