# 500 replications, RPI.dat
# Wed Aug 22 05:25:48 2012
# BIZUNK n0 = 100
k=5 PCS=0.900+/-0.013 E[N]/k=683.802+/-17.400 E[stages]=363.970+/-14.943
k=6 PCS=0.880+/-0.015 E[N]/k=718.097+/-13.243 E[stages]=363.382+/-11.506
k=38 PCS=0.948+/-0.010 E[N]/k=738.685+/-7.941 E[stages]=542.326+/-18.483
k=3 PCS=0.932+/-0.011 E[N]/k=446.661+/-11.471 E[stages]=160.432+/-6.314
k=12 PCS=0.948+/-0.010 E[N]/k=687.489+/-10.255 E[stages]=442.300+/-15.506
k=4 PCS=0.986+/-0.005 E[N]/k=466.284+/-10.634 E[stages]=170.074+/-6.627
k=4 PCS=0.816+/-0.017 E[N]/k=744.428+/-17.779 E[stages]=333.720+/-11.776
k=586 PCS=0.972+/-0.007 E[N]/k=689.405+/-2.820 E[stages]=424.096+/-13.170
k=15 PCS=0.910+/-0.013 E[N]/k=843.713+/-13.049 E[stages]=532.870+/-18.894
k=108 PCS=0.940+/-0.011 E[N]/k=771.162+/-5.884 E[stages]=558.876+/-18.827
k=34 PCS=0.946+/-0.010 E[N]/k=764.575+/-8.233 E[stages]=525.002+/-17.372
k=3112 PCS=0.956+/-0.009 E[N]/k=709.900+/-1.724 E[stages]=397.090+/-11.776
k=3900 PCS=0.964+/-0.008 E[N]/k=656.146+/-1.458 E[stages]=298.164+/-9.316
k=64 PCS=0.960+/-0.009 E[N]/k=664.832+/-5.348 E[stages]=427.004+/-14.864
