# 500 replications, RPI_hetero.dat
# Wed Aug 22 11:59:19 2012
# BIZUNK n0 = 100
k=844 PCS=0.940+/-0.011 E[N]/k=1367.759+/-4.146 E[stages]=126.860+/-5.967
k=5 PCS=0.894+/-0.014 E[N]/k=514.407+/-10.784 E[stages]=222.156+/-8.238
k=6 PCS=0.902+/-0.013 E[N]/k=998.679+/-18.661 E[stages]=252.648+/-10.074
k=38 PCS=0.934+/-0.011 E[N]/k=1193.055+/-11.435 E[stages]=291.328+/-12.393
k=3 PCS=0.958+/-0.009 E[N]/k=741.069+/-17.779 E[stages]=236.128+/-8.271
k=12 PCS=0.940+/-0.011 E[N]/k=1161.490+/-17.051 E[stages]=537.078+/-20.964
k=4 PCS=0.982+/-0.006 E[N]/k=1447.975+/-28.519 E[stages]=204.078+/-13.905
k=4 PCS=0.830+/-0.017 E[N]/k=1110.414+/-26.790 E[stages]=248.076+/-12.078
k=586 PCS=0.920+/-0.012 E[N]/k=1401.053+/-4.893 E[stages]=161.468+/-6.632
k=15 PCS=0.886+/-0.014 E[N]/k=1715.969+/-27.481 E[stages]=916.154+/-34.994
k=108 PCS=0.914+/-0.013 E[N]/k=1495.357+/-10.156 E[stages]=453.984+/-19.208
k=34 PCS=0.928+/-0.012 E[N]/k=1422.936+/-14.235 E[stages]=257.176+/-11.454
k=3112 PCS=0.904+/-0.013 E[N]/k=1511.282+/-3.840 E[stages]=137.078+/-4.966
k=3900 PCS=0.942+/-0.010 E[N]/k=1449.556+/-3.321 E[stages]=104.752+/-3.826
k=64 PCS=0.980+/-0.006 E[N]/k=1280.091+/-9.139 E[stages]=195.440+/-6.484
