# 10000 replications, RPI_heteroA.dat
# Tue Nov 13 07:06:06 2012
# BIZUNK n0 = 100
k=844 PCS=0.977+/-0.001 E[N]/k=951.440+/-0.744 E[stages]=503.450+/-3.803
k=5 PCS=0.906+/-0.003 E[N]/k=820.217+/-4.232 E[stages]=439.651+/-3.544
k=6 PCS=0.902+/-0.003 E[N]/k=1009.836+/-4.640 E[stages]=513.802+/-4.135
k=38 PCS=0.953+/-0.002 E[N]/k=1044.590+/-2.294 E[stages]=702.326+/-5.306
k=3 PCS=0.940+/-0.002 E[N]/k=668.368+/-3.809 E[stages]=255.901+/-2.023
k=12 PCS=0.943+/-0.002 E[N]/k=1016.544+/-3.471 E[stages]=675.077+/-5.256
k=4 PCS=0.978+/-0.001 E[N]/k=798.426+/-3.751 E[stages]=286.939+/-2.142
k=4 PCS=0.840+/-0.004 E[N]/k=1027.317+/-5.573 E[stages]=465.623+/-3.669
k=586 PCS=0.978+/-0.001 E[N]/k=998.723+/-0.871 E[stages]=567.713+/-4.209
k=15 PCS=0.911+/-0.003 E[N]/k=1320.979+/-4.393 E[stages]=873.808+/-6.597
k=108 PCS=0.954+/-0.002 E[N]/k=1143.310+/-1.883 E[stages]=863.138+/-6.599
k=34 PCS=0.951+/-0.002 E[N]/k=1109.198+/-2.667 E[stages]=731.158+/-5.618
k=3112 PCS=0.971+/-0.002 E[N]/k=1035.009+/-0.558 E[stages]=547.015+/-3.626
k=3900 PCS=0.977+/-0.001 E[N]/k=961.262+/-0.462 E[stages]=423.486+/-2.886
k=64 PCS=0.975+/-0.002 E[N]/k=983.902+/-1.761 E[stages]=602.845+/-4.415
