# 500 replications, RPI_heteroA.dat
# Wed Aug 29 04:20:36 2012
# BIZUNK n0 = 100
k=844 PCS=0.980+/-0.006 E[N]/k=947.311+/-3.259 E[stages]=471.810+/-14.079
k=5 PCS=0.900+/-0.013 E[N]/k=845.765+/-19.678 E[stages]=455.498+/-16.028
k=6 PCS=0.900+/-0.013 E[N]/k=989.244+/-20.256 E[stages]=498.342+/-17.520
k=38 PCS=0.958+/-0.009 E[N]/k=1055.357+/-10.766 E[stages]=727.592+/-24.743
k=3 PCS=0.922+/-0.012 E[N]/k=668.745+/-16.375 E[stages]=256.848+/-8.751
k=12 PCS=0.942+/-0.010 E[N]/k=1036.045+/-16.255 E[stages]=712.232+/-24.461
k=4 PCS=0.986+/-0.005 E[N]/k=805.050+/-17.836 E[stages]=296.988+/-10.847
k=4 PCS=0.848+/-0.016 E[N]/k=1021.867+/-24.739 E[stages]=461.122+/-16.461
k=586 PCS=0.976+/-0.007 E[N]/k=1005.357+/-3.948 E[stages]=613.352+/-19.774
k=15 PCS=0.916+/-0.012 E[N]/k=1324.866+/-20.603 E[stages]=857.338+/-28.392
k=108 PCS=0.948+/-0.010 E[N]/k=1133.358+/-8.122 E[stages]=858.542+/-26.882
k=34 PCS=0.930+/-0.011 E[N]/k=1125.958+/-13.366 E[stages]=786.338+/-30.585
k=3112 PCS=0.978+/-0.007 E[N]/k=1038.692+/-2.555 E[stages]=544.394+/-16.341
k=3900 PCS=0.982+/-0.006 E[N]/k=959.701+/-2.133 E[stages]=396.604+/-11.071
k=64 PCS=0.966+/-0.008 E[N]/k=983.970+/-7.908 E[stages]=626.364+/-20.906
